Feature Set,Model,Accuracy,Precision,Recall,F1 Score,Training Time (s)
Boruta,Random Forest,0.9967,0.9962,0.9981,0.9971,44.8438
Boruta,XGBoost,0.9973,0.9973,0.9980,0.9976,386.8569
Boruta,SVM,0.9936,0.9941,0.9947,0.9944,674.7013
RFE,Random Forest,0.9951,0.9943,0.9971,0.9957,38.3431
RFE,XGBoost,0.9977,0.9976,0.9984,0.9980,642.0817
RFE,SVM,0.9925,0.9951,0.9918,0.9934,605.3876
Correlation,Random Forest,0.9720,0.9725,0.9786,0.9756,20.2280
Correlation,XGBoost,0.9736,0.9754,0.9786,0.9770,287.4757
Correlation,SVM,0.9702,0.9716,0.9764,0.9740,2979.6572
ContrastFS,Random Forest,0.9718,0.9726,0.9783,0.9754,26.1413
ContrastFS,XGBoost,0.9736,0.9753,0.9785,0.9769,303.1653
ContrastFS,SVM,0.9702,0.9716,0.9764,0.9740,3002.4140
All Features,Random Forest,0.9992,0.9988,0.9998,0.9993,66.3381
All Features,XGBoost,0.9992,0.9991,0.9995,0.9993,2065.3579
All Features,SVM,0.9978,0.9972,0.9990,0.9981,1232.0329
